network,product_id,product,stores,min_price,avg_price,max_price,spread_pct
MEGA IMAGE SRL,1013020,Dr Oetker Drojdie Uscata Instant7g,129,1.49,1.5,1.64,10.1
PROFI,1011126,R&B Paine Alba Tava Fl 400g,139,35.65,37.23,39.25,10.1
PROFI,1014291,Bicarbonat Amoniu 7g Dr.Oetker,142,0.99,1.0,1.09,10.1
AUCHAN,1012704,Vodka Premium Tazovsky 1 L,17,49.9,51.96,54.9,10.0
AUCHAN,1027799,Dry Gin 0.7l 37.5% Gordon'S,17,62.8,65.66,69.1,10.0
AUCHAN,1048406,Vermut Rosso 1l Angelli,5,34.0,35.74,37.4,10.0
CARREFOUR,1010272,Cafea  Exclusive Intense. 250g,55,29.99,30.74,32.99,10.0
MEGA IMAGE SRL,1014022,Brasero Cafea Instant,129,23.09,23.44,25.39,10.0
MEGA IMAGE SRL,1021242,Bomb Cioco&Lapte 68g Maltesers,129,7.99,8.03,8.79,10.0
MEGA IMAGE SRL,1022679,Dr.Oetker Bourbon Zahar Vanilat 8g,129,2.69,2.7,2.96,10.0
PROFI,1013565,Ketchup Picant 500g Tomi,142,9.99,10.51,10.99,10.0
CARREFOUR,1077962,Pachet 5*0.05l Jack Daniel'S,31,69.99,73.29,76.89,9.9
AUCHAN,1041463,Skyy Vodka 40%Alc 0.7l,17,58.9,64.02,64.7,9.8
CARREFOUR,1011315,Capsule Amhsbld 102g Starbucks,25,30.49,32.05,33.49,9.8
PROFI,1014741,Acadea Chupa Chups Melody Pop 15 G,132,2.45,2.51,2.69,9.8
AUCHAN,1011577,Vodka Premium Tazovsky 0.5 L,17,26.7,27.92,29.3,9.7
AUCHAN,1010948,Jacobs Kronung Solubila 200g,11,49.38,50.23,54.13,9.6
AUCHAN,1015660,Dr.Oetker Original Pudding Praf Budinca Gust Vanilie 40g,10,1.35,1.46,1.48,9.6
AUCHAN,1195031,"Gin Hendricks Neptunia, Alcool 43.4%, 0.7l",16,219.0,228.19,240.0,9.6
MEGA IMAGE SRL,1014629,M&M'S Choco 45gr,129,5.19,5.21,5.69,9.6
MEGA IMAGE SRL,1017576,"Bomboane M&M' S Cu Arahide, 45g",129,5.19,5.21,5.69,9.6
PROFI,1007179,Pui La Cuptor Condimentat Cu Usturoi,28,20.9,22.76,22.9,9.6
PROFI,1019726,Haribo Wummis 100g,135,7.29,7.5,7.99,9.6
PROFI,1011709,Bunica Ulei Floarea Soarelui 1l,140,8.39,9.14,9.19,9.5
AUCHAN,1037488,Carolans 0.7l 17%,17,67.9,70.16,74.3,9.4
MEGA IMAGE SRL,1016507,Tassimo Morning Cafe 124.8g,129,37.19,37.35,40.69,9.4
AUCHAN,1074113,"Aperitiv Carpaten Bitter Zarea, 0.5l",17,18.5,18.94,20.2,9.2
