product_id,name,category,store_count,record_count,blended_rank
1013446,Chips Cu Gust Ardei 165gpring,PANIFICATIE,606,3563,35.0
1011077,M&M Ciocolata Drajeuri Cu Arahide 250g,"COFETARIE, DESERT, DULCIURI",601,3557,36.0
1019726,Haribo Wummis 100g,"COFETARIE, DESERT, DULCIURI",599,3550,37.0
1023304,Draj Cu Gust Menta 18g Tic Tac,"COFETARIE, DESERT, DULCIURI",597,3526,38.0
1016548,Hellmann'S Sos Original Burger 250ml,PANIFICATIE,588,3480,39.0
1021630,Boromir Foi Cremsnit 380 G,"COFETARIE, DESERT, DULCIURI",587,3465,40.0
1018430,Condiment Bors 70g Maggi,PANIFICATIE,585,3465,40.5
1014319,Drajeuri Mix Fructe 18gtic Tac,"COFETARIE, DESERT, DULCIURI",574,3389,42.0
1011111,Ceai Fares De Musetel 20 G / 20 De Plicuri,"CAFEA, CEAI",554,3272,43.0
1011126,R&B Paine Alba Tava Fl 400g,PANIFICATIE,540,3202,44.0
1010585,Amigo Cafea Solubila 200g,"CAFEA, CEAI",538,3197,45.0
1011149,"Bautura Espresso Machiatto Muller, 0.25l","CAFEA, CEAI",521,3022,46.0
1020843,Cioc Cu Lapte Din Stevia 25 G,"COFETARIE, DESERT, DULCIURI",515,3015,47.0
1011348,Cus Cus 500g Panzani,ALIMENTE DE BAZA,507,3006,48.5
1010348,Alba 700g De Vel Pitar,PANIFICATIE,510,2871,49.5
1010272,Cafea  Exclusive Intense. 250g,"CAFEA, CEAI",487,2891,50.0
1010945,Dr Oetker Crema Praj Gust C&T&R 57g,ALIMENTE DE BAZA,484,2893,50.0
1010288,"Chipsuri Lay'S Cu Gust De Cascaval, 60 G",PANIFICATIE,474,2822,52.0
1010776,Bomb Halls Miere&Lamaie 33.5g,"COFETARIE, DESERT, DULCIURI",427,2549,53.0
1011288,Salrom Sare Iodata Recristalizata 1kg,PANIFICATIE,427,2543,53.5
1010610,Sly Tableta Dietetica De Lapte  25gr,"COFETARIE, DESERT, DULCIURI",405,2347,55.5
1010771,Maille Dijon Mustar Fin 215 G,PANIFICATIE,401,2379,55.5
1018736,"Coniac Metaxa 12* Alc. 40%, 0.700l",BAUTURI ALCOOLICE,383,2277,57.0
1010392,Riso Scotti Orez Basmati 500g,ALIMENTE DE BAZA,368,2203,58.0
1010430,Cafea Mac Classique R&G250glor,"CAFEA, CEAI",356,2122,59.5
1010948,Jacobs Kronung Solubila 200g,"CAFEA, CEAI",355,2138,59.5
1011353,Cafea Boabe Crema E Aroma,"CAFEA, CEAI",333,1992,61.0
1010835,Baton Protein-R 60g,"COFETARIE, DESERT, DULCIURI",330,1938,62.0
1010591,Panzani Paste Tagliatelle 500g,ALIMENTE DE BAZA,315,1864,63.0
1010287,Antonio Di Vaio Fusilli 3 Minute 500g,ALIMENTE DE BAZA,293,1766,64.0
1010834,Vegeta Baza Mancare Leg.250g,PANIFICATIE,291,1712,65.0
1043261,Jacobs Cafea Boabe Barista Espresso1kg,BAUTURI ALCOOLICE,257,1512,66.0
1010551,Olympia Sos Sweet Chilli 250ml,PANIFICATIE,243,1447,67.0
1010366,Shan Shi Sos Aromatic Japan 120g,ALIMENTE DE BAZA,240,1430,68.0
1011315,Capsule Amhsbld 102g Starbucks,"CAFEA, CEAI",230,1373,69.0
1010932,"Bautura Cafea Arabica Starbucks, Fara Lactoza, 0.22l","CAFEA, CEAI",226,1351,70.0
1043842,Tigari Pall Mall Extra Cut Balance (Blue),BAUTURI ALCOOLICE,220,1329,71.0
1010568,"Cafea Capsule Nescafe Dolce Gusto Ristretto Napoli Style, 16 Capsule, 128g","CAFEA, CEAI",217,1280,72.0
1010453,Belin Ceai Verde 20x2g,"CAFEA, CEAI",199,1200,73.0
1018323,Jacobs Cafea Boabe Barista Crema 1kg,BAUTURI ALCOOLICE,177,1046,74.0
1010545,Hellmanns Original Sos Maioneza 625ml,PANIFICATIE,176,1040,75.0
1010522,Amidon Din Cartofi 75g Dr Oetk,ALIMENTE DE BAZA,167,1007,76.0
